	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	BALBC	C57Bl6
chr8_71274580_71274780	chr8	71274580	71274780	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_015742, intron 1 of 39)	intron (NM_015742, intron 1 of 39)	1966.0	NM_015742	17925.0	Mm.33779	NM_015742	ENSMUSG00000004677	Myo9b	-	myosin IXb	protein-coding	15.225	4.935
chr12_32448432_32448632	chr12	32448432	32448632	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Lx2|LINE|L1	69743.0	NM_001162903	72123.0	Mm.341352	NM_028111	ENSMUSG00000090946	Ccdc71l	2010109K11Rik|AV375874	coiled-coil domain containing 71 like	protein-coding	29.535000000000004	2.005
chr1_91269065_91269309	chr1	91269087	91269287	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_026454, intron 4 of 9)	intron (NM_026454, intron 4 of 9)	18868.0	NM_026454	67921.0	Mm.337238	NM_026454	ENSMUSG00000034343	Ube2f	2510010F15Rik|AI851109	ubiquitin-conjugating enzyme E2F (putative)	protein-coding	110.65	20.565
chr7_143770371_143770571	chr7	143770371	143770571	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-3478.0	NM_203492	381974.0	Mm.297839	NM_203492	ENSMUSG00000050276	Mrgprg	Gm1098|Mrgg	MAS-related GPR, member G	protein-coding	15.515	5.47
chr14_60008050_60008258	chr14	60008054	60008254	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_015803, intron 21 of 35)	MTB_Mm|LTR|ERVL-MaLR	78680.0	NM_015803	50769.0	Mm.319599	NM_015803	ENSMUSG00000021983	Atp8a2	AI415030|Atpc1b|agil|wl	ATPase, aminophospholipid transporter-like, class I, type 8A, member 2	protein-coding	61.865	23.25
chr2_96525743_96525943	chr2	96525743	96525943	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001289743, intron 1 of 6)	intron (NM_001289743, intron 1 of 6)	207674.0	NM_001289743	241568.0	Mm.241682	NM_178725	ENSMUSG00000050587	Lrrc4c	6430556C10Rik|NGL-1	leucine rich repeat containing 4C	protein-coding	18.18	2.695
chr7_44623823_44624052	chr7	44623837	44624037	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001271538, intron 30 of 40)	intron (NM_001271538, intron 30 of 40)	33051.0	NM_001290682	16504.0	Mm.40312	NM_008422	ENSMUSG00000062785	Kcnc3	KShIIID|Kcr2-3|Kv3.3	potassium voltage gated channel, Shaw-related subfamily, member 3	protein-coding	160.7	48.975
chr14_47909193_47909407	chr14	47909200	47909400	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NR_045959, intron 2 of 3)	L1ME1|LINE|L1	10436.0	NR_045959	73961.0	Mm.390702	NR_045959		4930447J18Rik	4930425M13Rik	RIKEN cDNA 4930447J18 gene	ncRNA	47.14	21.945
chr11_75669227_75669427	chr11	75669227	75669427	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_008659, intron 21 of 31)	intron (NM_008659, intron 21 of 31)	-9932.0	NM_001277219	12928.0	Mm.280125	NM_133656	ENSMUSG00000017776	Crk	Crk-I|Crk-II|Crk-III|Crk3|CrkIII|Crko|c-Crk|p38	v-crk avian sarcoma virus CT10 oncogene homolog	protein-coding	16.835	3.465
chr3_82609019_82609224	chr3	82609021	82609221	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	MTC|LTR|ERVL-MaLR	-61036.0	NM_001205099	18167.0	Mm.1433	NM_008731	ENSMUSG00000028004	Npy2r	NPY2-R	neuropeptide Y receptor Y2	protein-coding	106.925	44.345
chr1_157019717_157019917	chr1	157019717	157019917	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	RMER16_Mm|LTR|ERVK	-80191.0	NM_001159967	78255.0	Mm.28376	NM_023884	ENSMUSG00000026594	Ralgps2	1810020P17Rik|2210408F11Rik|4921528G01Rik|9130014M22Rik|AU043409|AW046161	Ral GEF with PH domain and SH3 binding motif 2	protein-coding	21.745	9.555
chr4_122840465_122840665	chr4	122840465	122840665	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_008917, intron 1 of 8)	L1MB5|LINE|L1	4338.0	NM_008917	19063.0	Mm.277719	NM_008917	ENSMUSG00000028657	Ppt1	9530043G02Rik|AA960502|C77813|CLN1|D4Ertd184e|INCL|PPT	palmitoyl-protein thioesterase 1	protein-coding	17.13	5.705
chr10_118126787_118126987	chr10	118126787	118126987	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	URR1B|DNA|hAT-Charlie	-14900.0	NM_010785	17245.0	Mm.101191	NM_010785	ENSMUSG00000020212	Mdm1	Arrd2|Mdm-1	transformed mouse 3T3 cell double minute 1	protein-coding	36.24	5.47
chr6_77121784_77121984	chr6	77121784	77121984	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001109764, intron 9 of 19)	intron (NM_001109764, intron 9 of 19)	-120833.0	NM_028880	74342.0	Mm.292568	NM_028880	ENSMUSG00000060780	Lrrtm1	4632401D06Rik|AW125451	leucine rich repeat transmembrane neuronal 1	protein-coding	26.595	5.165
chr8_82810711_82810911	chr8	82810711	82810911	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-36685.0	NM_145600	30932.0	Mm.269248	NM_145600	ENSMUSG00000031711	Zfp330	BC008086|Noa36|Znf330	zinc finger protein 330	protein-coding	25.105	3.615
chr8_76901927_76902127	chr8	76901927	76902127	+	1000.0	BALBC_PU1_notx_idr.tsv	promoter-TSS (NM_001083906)	promoter-TSS (NM_001083906)	-481.0	NM_001083906	110784.0	Mm.324393	NM_001083906	ENSMUSG00000031618	Nr3c2	MR|Mlr	nuclear receptor subfamily 3, group C, member 2	protein-coding	16.21	6.709999999999999
chr18_79981039_79981254	chr18	79981046	79981246	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-65749.0	NM_053117	93737.0	Mm.24678	NM_053117	ENSMUSG00000056214	Pard6g	2410049N21Rik|Par6a	par-6 family cell polarity regulator gamma	protein-coding	81.16	22.49
chr7_129994862_129995066	chr7	129994864	129995064	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Lx2B2|LINE|L1	32799.0	NR_046077	100043150.0	Mm.334264	NR_046077	ENSMUSG00000108504	Gm4265	-	predicted gene 4265	ncRNA	52.81999999999999	25.65
chr5_137310776_137311102	chr5	137310839	137311039	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_011639, intron 6 of 8)	intron (NM_011639, intron 6 of 8)	-3265.0	NM_031405	83701.0	Mm.387734	NM_031405	ENSMUSG00000037364	Srrt	2810019G02Rik|ASR2A|ASR2B|ASR2C|ASR2D|Ars2|Asr2	serrate RNA effector molecule homolog (Arabidopsis)	protein-coding	149.4	34.825
chr10_111159790_111160012	chr10	111159801	111160001	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	ORR1B1-int|LTR|ERVL-MaLR	-4901.0	NM_001003717	237542.0	Mm.220204	NM_175489	ENSMUSG00000020189	Osbpl8	AA536976|AA536995|C730029P18Rik|D330025H14Rik|ORP-8	oxysterol binding protein-like 8	protein-coding	170.04500000000004	72.57
chr12_62017696_62017896	chr12	62017696	62017896	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	RLTR45|LTR|ERVK	494629.0	NM_178714	238205.0	Mm.28802	NM_178714	ENSMUSG00000035653	Lrfn5	AI427653|AI604817|C130061B21|mKIAA4208	leucine rich repeat and fibronectin type III domain containing 5	protein-coding	40.325	18.54
chr8_86805931_86806131	chr8	86805931	86806131	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-60025.0	NM_009172	20437.0	Mm.324553	NM_009172	ENSMUSG00000036840	Siah1a	AA982064|AI853500|Sinh1a	seven in absentia 1A	protein-coding	29.295	2.155
chr5_122970141_122970341	chr5	122970141	122970341	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001003953, intron 4 of 22)	intron (NM_001003953, intron 4 of 22)	18858.0	NM_001003953	30841.0	Mm.86406	NM_013910	ENSMUSG00000029475	Kdm2b	Cxxc2|Fbl10|Fbxl10|Jhdm1b|PCCX2	lysine (K)-specific demethylase 2B	protein-coding	41.255	4.765
chr4_53179411_53179611	chr4	53179411	53179611	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	RMER4B|LTR|ERVK	-19616.0	NM_013454	11303.0	Mm.277376	NM_013454	ENSMUSG00000015243	Abca1	ABC-1|Abc1	ATP-binding cassette, sub-family A (ABC1), member 1	protein-coding	28.825000000000006	0.62
chr12_78860081_78860281	chr12	78860081	78860281	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_023721, intron 1 of 8)	intron (NM_023721, intron 1 of 8)	1457.0	NM_023721	73834.0	Mm.311549	NM_023721	ENSMUSG00000021114	Atp6v1d	1110004P10Rik|Atp6m|VATD|Vma8	ATPase, H+ transporting, lysosomal V1 subunit D	protein-coding	33.495000000000005	13.88
chr4_107718215_107718415	chr4	107718215	107718415	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-34153.0	NM_019872	56296.0	Mm.141324	NM_019872	ENSMUSG00000028610	Dmrtb1	Dmrt6|Prp13	DMRT-like family B with proline-rich C-terminal, 1	protein-coding	31.25	6.0150000000000015
chr18_43374686_43374886	chr18	43374686	43374886	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001291455, intron 1 of 13)	LTR33|LTR|ERVL	-1514.0	NM_001136086	22240.0	Mm.8180	NM_009468	ENSMUSG00000024501	Dpysl3	CRMP-4|DRP-3|TUC4|ULIP-1|Ulip|Ulip1	dihydropyrimidinase-like 3	protein-coding	24.0	1.235
chr13_118243976_118244176	chr13	118243976	118244176	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	143176.0	NM_021556	59054.0	Mm.143810	NM_021556	ENSMUSG00000021731	Mrps30	2610020A16Rik|AA968347|PAP|Pdcd9	mitochondrial ribosomal protein S30	protein-coding	14.25	1.08
chr10_12929845_12930045	chr10	12929845	12930045	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-6818.0	NR_038028	320273.0	Mm.417706	NR_038027	ENSMUSG00000097378	B230208H11Rik	-	RIKEN cDNA B230208H11 gene	ncRNA	25.895	6.0150000000000015
chr6_28928080_28928280	chr6	28928080	28928280	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	IAPEz-int|LTR|ERVK	-94439.0	NR_029567	387237.0		NR_029567	ENSMUSG00000065469	Mir129-1	Mirn129-1|Mirn129b|miR-129b|mir-129-1	microRNA 129-1	ncRNA	20.99	3.315
chr6_29650355_29650555	chr6	29650355	29650555	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-40342.0	NM_001347079	320938.0	Mm.276381	NM_177296	ENSMUSG00000012535	Tnpo3	5730544L10Rik|C430013M08Rik|C81142|D6Ertd313e|Trn-SR|mKIAA4133	transportin 3	protein-coding	18.105	6.005
