	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	BALBC	C57Bl6
chr10_89584812_89585017	chr10	89584814	89585014	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001310710, intron 7 of 9)	intron (NM_001310710, intron 7 of 9)	14901.0	NM_001310710	216227.0	Mm.233921	NM_182959	ENSMUSG00000019935	Slc17a8	BC042593|Vglut3	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8	protein-coding	35.085	136.075
chr10_52377968_52378176	chr10	52377972	52378172	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001199272, intron 1 of 8)	intron (NM_001199272, intron 1 of 8)	4052.0	NM_053187	94221.0	Mm.390258	NM_053187	ENSMUSG00000019861	Gopc	2210402P09Rik|AI844555|CAL|FIG|GOPC1|PIST	golgi associated PDZ and coiled-coil motif containing	protein-coding	14.419999999999998	31.295
chr9_41049379_41049599	chr9	41049389	41049589	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_176860, intron 3 of 13)	intron (NM_176860, intron 3 of 13)	-44861.0	NM_001281954	54698.0	Mm.42791	NM_019465	ENSMUSG00000032021	Crtam	-	cytotoxic and regulatory T cell molecule	protein-coding	46.535	103.375
chr3_96489142_96489342	chr3	96489142	96489342	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-35943.0	NM_027126	69585.0	Mm.171314	NM_027126	ENSMUSG00000038403	Hfe2	2310035L15Rik|5230400G09Rik|AI414844|AI789733|DL-M|HJV|Rgmc|hemojuvelin	hemochromatosis type 2 (juvenile)	protein-coding	0.695	29.300000000000004
chr1_173599196_173599396	chr1	173599196	173599396	+	1000.0	C57Bl6_PU1_notx_idr.tsv	promoter-TSS (NM_001177350)	promoter-TSS (NM_001177350)	-22.0	NM_001177349	623121.0	Mm.138449	NM_001033384	ENSMUSG00000073491	Ifi213	E030037K03Rik|E430029J22Rik|Pydc4|Pyr-A	interferon activated gene 213	protein-coding	2.48	36.255
chr9_117927542_117927768	chr9	117927555	117927755	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-112867.0	NM_001286508	27215.0	Mm.92705	NM_013727	ENSMUSG00000039285	Azi2	AA410145|AZ2	5-azacytidine induced gene 2	protein-coding	39.38500000000001	147.535
chr8_81782029_81782229	chr8	81782029	81782229	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001024617, intron 7 of 24)	intron (NM_001024617, intron 7 of 24)	439567.0	NM_001297591	234515.0	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding	0.0	25.705
chr6_49387251_49387451	chr6	49387251	49387451	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_172727, intron 6 of 6)	RLTR12B|LTR|ERVK	-8253.0	NM_029916	77485.0	Mm.128054	NM_029916	ENSMUSG00000023403	Stk31	C330007K24Rik	serine threonine kinase 31	protein-coding	7.445	19.41
chr13_95797645_95797845	chr13	95797645	95797845	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_027711, intron 2 of 35)	intron (NM_027711, intron 2 of 35)	94177.0	NM_027711	544963.0	Mm.38878	NM_027711	ENSMUSG00000021676	Iqgap2	4933417J23Rik|A630053O10|AI788777	IQ motif containing GTPase activating protein 2	protein-coding	0.29	22.7
chr9_92301223_92301423	chr9	92301223	92301423	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	MLT1A0-int|LTR|ERVL-MaLR	-8054.0	NM_001033184	78459.0	Mm.179195	NM_001033184	ENSMUSG00000074139	1700057G04Rik	-	RIKEN cDNA 1700057G04 gene	protein-coding	0.92	76.02000000000002
chr18_64609982_64610210	chr18	64609996	64610196	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001001488, intron 1 of 27)	MTB|LTR|ERVL-MaLR	50904.0	NM_001001488	54670.0	Mm.270043	NM_001001488	ENSMUSG00000039529	Atp8b1	AI451886|FIC1|Ic	ATPase, class I, type 8B, member 1	protein-coding	20.77	48.59
chr1_131703590_131703790	chr1	131703590	131703790	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001311096, intron 4 of 4)	intron (NM_001311096, intron 4 of 4)	14995.0	NM_145509	226421.0	Mm.44508	NM_145509	ENSMUSG00000052688	Rab7b	5430435G22Rik	RAB7B, member RAS oncogene family	protein-coding	2.135	46.84
chr18_5988630_5988830	chr18	5988630	5988830	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	ORR1F|LTR|ERVL-MaLR	147368.0	NM_029277	75415.0	Mm.239675	NM_029277	ENSMUSG00000041225	Arhgap12	2810011M08Rik	Rho GTPase activating protein 12	protein-coding	6.455	20.8
chr4_88352919_88353119	chr4	88352919	88353119	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001081184, intron 28 of 43)	(GAA)n|Simple_repeat|Simple_repeat	85907.0	NM_025760	66775.0	Mm.386788	NM_025760	ENSMUSG00000028497	Hacd4	4933428I03Rik|Hcad4|Ptplad2	3-hydroxyacyl-CoA dehydratase 4	protein-coding	5.59	18.47
chr1_161329369_161329584	chr1	161329376	161329576	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-65962.0	NM_009452	22164.0	Mm.4994	NM_009452	ENSMUSG00000026700	Tnfsf4	Ath-1|Ath1|CD134L|OX-40L|Ox40l|TXGP1|Tnlg2b|Txgp1l|gp34	tumor necrosis factor (ligand) superfamily, member 4	protein-coding	44.55	112.57
chr3_84743041_84743241	chr3	84743041	84743241	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	L1_Mus2|LINE|L1	-72436.0	NM_001177773	50754.0	Mm.196475	NM_080428	ENSMUSG00000028086	Fbxw7	1110001A17Rik|AGO|Cdc4|Fbw7|Fbwd6|Fbx30|Fbxo30|Fbxw6|SEL-10	F-box and WD-40 domain protein 7	protein-coding	0.0	38.955
chr12_34898479_34898679	chr12	34898479	34898679	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001271386, intron 2 of 27)	(GAA)n|Simple_repeat|Simple_repeat	18516.0	NM_001271386	79221.0	Mm.310551	NM_024124	ENSMUSG00000004698	Hdac9	AV022454|D030072B18Rik|HD7B|HD9|HDRP|Hdac7b|Mitr|mKIAA0744	histone deacetylase 9	protein-coding	0.0	29.285
chr6_119859081_119859281	chr6	119859081	119859281	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	RLTR45|LTR|ERVK	10988.0	NR_030776	67289.0	Mm.418299	NR_030776		3110021A11Rik	-	RIKEN cDNA 3110021A11 gene	ncRNA	6.0	30.635
chr3_142086009_142086215	chr3	142086012	142086212	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001277216, intron 1 of 11)	intron (NM_001277216, intron 1 of 11)	83116.0	NM_001277216	12167.0	Mm.39089	NM_007560	ENSMUSG00000052430	Bmpr1b	AI385617|ALK-6|AV355320|Acvrlk6|Alk6|BMPR-1B|BMPR-IB|CFK-43a|SKR6	bone morphogenetic protein receptor, type 1B	protein-coding	25.925	53.235
chr17_35393933_35394133	chr17	35393933	35394133	+	1000.0	C57Bl6_PU1_notx_idr.tsv	promoter-TSS (NR_051981)	promoter-TSS (NR_051981)	-66.0	NR_051981	15016.0	Mm.439648	NR_051981	ENSMUSG00000055413	H2-Q5	H-2Q5|Qa-5|Qa5|Qat-5	histocompatibility 2, Q region locus 5	pseudo	0.0	37.34
chr4_41589902_41590102	chr4	41589902	41590102	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_175138, intron 1 of 19)	intron (NM_175138, intron 1 of 19)	20208.0	NM_175138	68922.0	Mm.79127	NM_175138	ENSMUSG00000061322	Dnaic1	1110066F04Rik|BB124644|Dnai1|b2b1526Clo	dynein, axonemal, intermediate chain 1	protein-coding	12.525	88.33000000000001
chr10_12919386_12919595	chr10	12919390	12919590	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NR_038027, intron 3 of 3)	intron (NR_038027, intron 3 of 3)	3637.0	NR_038027	320273.0	Mm.417706	NR_038027	ENSMUSG00000097378	B230208H11Rik	-	RIKEN cDNA B230208H11 gene	ncRNA	32.35	118.355
chr8_81751250_81751450	chr8	81751250	81751450	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001297593, intron 4 of 23)	intron (NM_001297593, intron 4 of 23)	408788.0	NM_001297591	234515.0	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding	0.635	35.795
chr5_32949714_32949916	chr5	32949715	32949915	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_177786, intron 31 of 32)	MTC|LTR|ERVL-MaLR	-69001.0	NM_011738	22629.0	Mm.332314	NM_011738	ENSMUSG00000018965	Ywhah	-	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	protein-coding	21.69	57.655
chr9_70299397_70299597	chr9	70299397	70299597	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_181072, intron 3 of 27)	MTC|LTR|ERVL-MaLR	92147.0	NM_181072	71602.0	Mm.249311	NM_181072	ENSMUSG00000032220	Myo1e	2310020N23Rik|9130023P14Rik|AA407778|myosin-1e|myr 3	myosin IE	protein-coding	4.325	15.4
chr10_22169296_22169496	chr10	22169296	22169496	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_009016, intron 1 of 9)	intron (NM_009016, intron 1 of 9)	-4125.0	NM_198193	379043.0	Mm.439724	NM_198193	ENSMUSG00000053219	Raet1e	-	retinoic acid early transcript 1E	protein-coding	1.15	85.72999999999998
chr14_54222454_54222654	chr14	54222454	54222654	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	31375.0	NM_001113358	13135.0	Mm.319038	NM_010015	ENSMUSG00000022174	Dad1	AI323713	defender against cell death 1	protein-coding	2.655	39.345
chr14_121990950_121991150	chr14	121990950	121991150	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_026861, intron 6 of 8)	intron (NM_026861, intron 6 of 8)	-25857.0	NM_183031	321019.0	Mm.265618	NM_183031	ENSMUSG00000051212	Gpr183	Ebi2	G protein-coupled receptor 183	protein-coding	0.29	17.265
chr2_59393254_59393454	chr2	59393254	59393454	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	L1MDa|LINE|L1	-6672.0	NR_040510	76676.0	Mm.110038	NR_040510	ENSMUSG00000087455	5330411J11Rik	-	RIKEN cDNA 5330411J11 gene	ncRNA	4.965	16.64
chr13_95899876_95900076	chr13	95899876	95900076	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-8054.0	NM_027711	544963.0	Mm.38878	NM_027711	ENSMUSG00000021676	Iqgap2	4933417J23Rik|A630053O10|AI788777	IQ motif containing GTPase activating protein 2	protein-coding	5.945	17.630000000000006
chr4_126062652_126062852	chr4	126062652	126062852	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_172701, intron 1 of 9)	intron (NM_172701, intron 1 of 9)	4187.0	NM_172701	230751.0	Mm.38907	NM_172701	ENSMUSG00000042616	Oscp1	1810007P19Rik|5730415O04|6030436A01Rik	organic solute carrier partner 1	protein-coding	3.75	20.015
chr7_80965949_80966155	chr7	80965952	80966152	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	MTB_Mm|LTR|ERVL-MaLR	-18502.0	NM_019951	56529.0	Mm.43760	NM_019951	ENSMUSG00000025724	Sec11a	1810012E07Rik|18kDa|Sec11l1|Sid2895p|Spc18|sid2895	SEC11 homolog A, signal peptidase complex subunit	protein-coding	81.655	181.55
chr18_23949956_23950156	chr18	23949956	23950156	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	ETnERV2-int|LTR|ERVK	-4632.0	NM_027007	69256.0	Mm.218343	NM_027007	ENSMUSG00000024276	Zfp397	2810411K16Rik|6720480F11Rik|AI461664	zinc finger protein 397	protein-coding	7.845	20.49
chr9_40814747_40814947	chr9	40814747	40814947	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	MIR|SINE|MIR	13574.0	NM_031165	15481.0	Mm.290774	NM_031165	ENSMUSG00000015656	Hspa8	2410008N15Rik|Hsc70|Hsc71|Hsc73|Hsp73|Hspa10	heat shock protein 8	protein-coding	1.785	47.005
chr14_54651103_54651316	chr14	54651109	54651309	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	non-coding (NR_038053, exon 2 of 6)	non-coding (NR_038053, exon 2 of 6)	698.0	NR_038053	75913.0	Mm.474799	NR_038053		4930579G18Rik	-	RIKEN cDNA 4930579G18 gene	ncRNA	18.225	62.49
chr4_105280699_105280899	chr4	105280699	105280899	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	123452.0	NM_080555	67916.0	Mm.348326	NM_080555	ENSMUSG00000028517	Plpp3	1110003O22Rik|2610002D05Rik|AV025606|D4Bwg0538e|D4Bwg1535e|Lpp3|Ppab2b|Ppap2b	phospholipid phosphatase 3	protein-coding	1.96	23.035
chr2_118442203_118442403	chr2	118442203	118442403	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001177806, intron 17 of 37)	intron (NM_001177806, intron 17 of 37)	37393.0	NM_009273	20813.0	Mm.363404	NM_009273	ENSMUSG00000009549	Srp14	14kDa|AW536328	signal recognition particle 14	protein-coding	3.23	15.785
chr17_31853500_31853720	chr17	31853510	31853710	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_010831, intron 3 of 13)	intron (NM_010831, intron 3 of 13)	2182.0	NM_010831	17691.0	Mm.290941	NM_010831	ENSMUSG00000024042	Sik1	Msk|Sik|Snf1lk	salt inducible kinase 1	protein-coding	15.805	54.615
chr1_172240924_172241164	chr1	172240944	172241144	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_013734, intron 11 of 22)	intron (NM_013734, intron 11 of 22)	17380.0	NM_013734	27222.0	Mm.482392	NM_013734	ENSMUSG00000007107	Atp1a4	-	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein-coding	87.145	273.02
chr9_119743482_119743682	chr9	119743482	119743682	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	MLT1F2|LTR|ERVL-MaLR	-24550.0	NM_001205321	20264.0	Mm.247042	NM_009134	ENSMUSG00000034533	Scn10a	Nav1.8|PN3|SNS	sodium channel, voltage-gated, type X, alpha	protein-coding	14.13	31.735
chr12_99978823_99979023	chr12	99978823	99979023	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_146037, intron 2 of 2)	RLTR13B4|LTR|ERVK	14424.0	NM_001164426	217826.0	Mm.312335	NM_146037	ENSMUSG00000045404	Kcnk13	BB085247|F730021E22Rik|Gm1570|Gm1685	potassium channel, subfamily K, member 13	protein-coding	9.63	23.05
chr19_24723693_24723910	chr19	24723701	24723901	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_175013, intron 9 of 10)	intron (NM_175013, intron 9 of 10)	49793.0	NM_183160	226040.0	Mm.391170	NM_183160	ENSMUSG00000048572	Tmem252	E030010A14Rik	transmembrane protein 252	protein-coding	34.78	120.375
chr2_125930073_125930275	chr2	125930074	125930274	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_175154, intron 6 of 9)	intron (NM_175154, intron 6 of 9)	63951.0	NM_001291002	69976.0	Mm.20216	NM_175154	ENSMUSG00000027207	Galk2	2810017M24Rik|AI327030|Gk2	galactokinase 2	protein-coding	19.72	47.095
chr13_55182403_55182603	chr13	55182403	55182603	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-27279.0	NM_008739	18193.0	Mm.12964	NM_008739	ENSMUSG00000021488	Nsd1	AI528500|KMT3B	nuclear receptor-binding SET-domain protein 1	protein-coding	9.575	86.27000000000002
chr13_98683497_98683701	chr13	98683499	98683699	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	L1MB5|LINE|L1	11232.0	NM_001025606	380863.0	Mm.28264	NM_001025606	ENSMUSG00000052485	Tmem171	Gm905	transmembrane protein 171	protein-coding	103.39	238.545
chr8_34732397_34732602	chr8	34732399	34732599	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-75111.0	NM_176933	319520.0	Mm.170276	NM_176933	ENSMUSG00000031530	Dusp4	2700078F24Rik|AI844617|BB104621|E130306H24Rik|MKP2	dual specificity phosphatase 4	protein-coding	18.18	95.945
chr2_162922283_162922483	chr2	162922283	162922483	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-9125.0	NM_026499	67996.0	Mm.24042	NM_026499	ENSMUSG00000016921	Srsf6	1210001E11Rik|AI314910|AW146126|Sfrs6	serine/arginine-rich splicing factor 6	protein-coding	7.095	17.950000000000006
chr4_122882105_122882305	chr4	122882105	122882305	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_007598, intron 1 of 12)	intron (NM_007598, intron 1 of 12)	3852.0	NM_001301067	12331.0	Mm.8687	NM_007598	ENSMUSG00000028656	Cap1	-	CAP, adenylate cyclase-associated protein 1 (yeast)	protein-coding	20.525	55.65000000000001
chr13_36086686_36086886	chr13	36086686	36086886	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_201358, intron 2 of 2)	intron (NM_201358, intron 2 of 2)	30571.0	NM_201358	380840.0	Mm.390576	NM_201358	ENSMUSG00000046573	Lyrm4	BC034664|Gm903	LYR motif containing 4	protein-coding	6.63	15.335
chr9_48792948_48793148	chr9	48792948	48793148	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001033324, intron 2 of 6)	GA-rich|Low_complexity|Low_complexity	42897.0	NM_001033324	235320.0	Mm.457803	NM_001033324	ENSMUSG00000066687	Zbtb16	AI467657|PLZF|Zfp145|lu	zinc finger and BTB domain containing 16	protein-coding	10.145	29.205
chr11_29628696_29628896	chr11	29628696	29628896	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Lx8|LINE|L1	-64102.0	NM_194054	68585.0	Mm.192580	NM_024226	ENSMUSG00000020458	Rtn4	1110020G17Rik|AA407876|AA409940|AA960376|ASY|C130026I10Rik|NOGO|NSP-CL|NgA|Nogo-A|Nogo-B|Nogo-C|mKIAA0886|mKIAA4153	reticulon 4	protein-coding	2.9450000000000003	66.605
chr4_136178148_136178348	chr4	136178148	136178348	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_177733, intron 1 of 6)	intron (NM_177733, intron 1 of 6)	-2534.0	NM_001305399	242705.0	Mm.307932	NM_177733	ENSMUSG00000018983	E2f2	E2F-2	E2F transcription factor 2	protein-coding	2.135	48.1
chr1_192778958_192779158	chr1	192778958	192779158	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-7839.0	NM_144881	226861.0	Mm.145857	NM_144881	ENSMUSG00000037375	Hhat	2810432O22Rik|AI462858|AP-2CRE|Skn|Tg(TFAP2A-cre)1Will	hedgehog acyltransferase	protein-coding	7.215	28.9
chr7_142363163_142363373	chr7	142363168	142363368	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001347541, intron 2 of 2)	intron (NM_001347541, intron 2 of 2)	8991.0	NM_177265	320802.0	Mm.154486	NM_177265	ENSMUSG00000045777	Ifitm10	6330512M04Rik|AI848576|DSPA3	interferon induced transmembrane protein 10	protein-coding	36.575	88.07
chr8_90902044_90902244	chr8	90902044	90902244	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_177224, intron 2 of 39)	intron (NM_177224, intron 2 of 39)	-30105.0	NM_001310530	109151.0	Mm.100615	NM_177224	ENSMUSG00000056608	Chd9	1810014J18Rik|9030205D12Rik|A330063D19Rik|AD013|PRIC320|mKIAA0308	chromodomain helicase DNA binding protein 9	protein-coding	7.9	18.48
chr4_139317122_139317322	chr4	139317122	139317322	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_025337, intron 5 of 6)	intron (NM_025337, intron 5 of 6)	6478.0	NM_025337	110198.0	Mm.482154	NM_025337	ENSMUSG00000028743	Akr7a5	0610025K21Rik|Afar|Afar1|Akr7a2	aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)	protein-coding	5.42	61.505
chr14_54579748_54579948	chr14	54579748	54579948	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-2187.0	NM_010590	16475.0	Mm.100253	NM_010590	ENSMUSG00000022178	Ajuba	Jub	ajuba LIM protein	protein-coding	7.96	34.82
chr1_14297070_14297284	chr1	14297077	14297277	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001252192, intron 2 of 16)	intron (NM_001252192, intron 2 of 16)	13022.0	NM_010164	14048.0	Mm.250185	NM_010164	ENSMUSG00000025932	Eya1	bor	EYA transcriptional coactivator and phosphatase 1	protein-coding	21.17	47.7
chr18_62691274_62691474	chr18	62691274	62691474	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001168423, intron 1 of 4)	intron (NM_001168423, intron 1 of 4)	50013.0	NM_001168423	100038417.0	Mm.387557	NM_001168423	ENSMUSG00000073551	Spink13	ENSMUSG00000073551|Gm10534|Spink5l3	serine peptidase inhibitor, Kazal type 13	protein-coding	6.005000000000001	17.095
